//Loading PDBs.
//PDB loading of cell: NEURON
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
1                        1.04e-14   6.04e-15   5.81e-01    NEURON  vss      VSS  
2                        1.29e-14   1.04e-14   8.03e-01    NEURON  vdd      VDD  
3                        5.51e-16   5.02e-16   9.11e-01    NEURON  w0<1>    W0<1>  
4                        5.41e-16   4.90e-16   9.06e-01    NEURON  x0<1>    X0<1>  
5                        4.88e-16   3.77e-16   7.72e-01    NEURON  5        XI2/NET7  
6                        5.07e-16   3.98e-16   7.86e-01    NEURON  6        XI2/NET10  
7                        1.37e-15   1.19e-15   8.74e-01    NEURON  7        NET2<1>  
8                        1.56e-15   1.36e-15   8.77e-01    NEURON  8        NET2<0>  
9                        1.26e-15   1.09e-15   8.65e-01    NEURON  9        XI4/NET8  
10                       1.29e-15   1.14e-15   8.83e-01    NEURON  10       NET3<1>  
11                       1.48e-15   1.32e-15   8.90e-01    NEURON  11       NET3<0>  
12                       5.25e-16   4.87e-16   9.28e-01    NEURON  12       XI2/NET24  
13                       3.21e-16   3.05e-16   9.49e-01    NEURON  w0<0>    W0<0>  
14                       5.56e-16   5.14e-16   9.25e-01    NEURON  14       XI2/NET29  
15                       8.41e-16   7.78e-16   9.26e-01    NEURON  15       XI4/XI8/XI2/NET1  
16                       2.69e-16   2.58e-16   9.59e-01    NEURON  x0<0>    X0<0>  
17                       3.77e-16   3.63e-16   9.63e-01    NEURON  17       XI2/XI2/NET2  
18                       7.66e-16   7.14e-16   9.32e-01    NEURON  18       XI4/NET4  
19                       5.42e-16   5.06e-16   9.33e-01    NEURON  19       XI4/XI8/XI2/NET8  
20                       3.77e-16   3.62e-16   9.61e-01    NEURON  20       XI3/XI3/NET2  
21                       5.38e-16   5.03e-16   9.34e-01    NEURON  21       XI4/XI8/XI2/NET13  
22                       5.18e-16   4.96e-16   9.56e-01    NEURON  22       XI2/NET17  
23                       5.14e-16   4.93e-16   9.59e-01    NEURON  23       XI3/NET17  
